Year,Month,EDC,price,PTC,markup,CPI,inflation_factor,real_price,real_PTC,real_markup,n_offers,weight,RT_Average,RT_Median,real_RT_Average,real_RT_Median
2017,8,DUQ,7.95,7.5333,0.4167,245.519,1.306599,10.3875,9.843,0.5444,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,8.2,7.5333,0.6667,245.519,1.306599,10.7141,9.843,0.8711,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,8.25,7.5333,0.7167,245.519,1.306599,10.7794,9.843,0.9364,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,10.31,7.5333,2.7767,245.519,1.306599,13.471,9.843,3.628,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,7.72,7.5333,0.1867,245.519,1.306599,10.0869,9.843,0.2439,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,5.99,7.5333,-1.5433,245.519,1.306599,7.8265,9.843,-2.0165,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,8.99,7.5333,1.4567,245.519,1.306599,11.7463,9.843,1.9033,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,7.0,7.5333,-0.5333,245.519,1.306599,9.1462,9.843,-0.6969,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,10.4,7.5333,2.8667,245.519,1.306599,13.5886,9.843,3.7456,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,11.7,7.5333,4.1667,245.519,1.306599,15.2872,9.843,5.4442,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,11.49,7.5333,3.9567,245.519,1.306599,15.0128,9.843,5.1698,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,12.87,7.5333,5.3367,245.519,1.306599,16.8159,9.843,6.9729,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,8.89,7.5333,1.3567,245.519,1.306599,11.6157,9.843,1.7726,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,8.89,7.5333,1.3567,245.519,1.306599,11.6157,9.843,1.7726,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,8.89,7.5333,1.3567,245.519,1.306599,11.6157,9.843,1.7726,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,8.49,7.5333,0.9567,245.519,1.306599,11.093,9.843,1.25,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,8.89,7.5333,1.3567,245.519,1.306599,11.6157,9.843,1.7726,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,9.99,7.5333,2.4567,245.519,1.306599,13.0529,9.843,3.2099,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,8.79,7.5333,1.2567,245.519,1.306599,11.485,9.843,1.642,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,9.69,7.5333,2.1567,245.519,1.306599,12.6609,9.843,2.8179,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,8.79,7.5333,1.2567,245.519,1.306599,11.485,9.843,1.642,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,8.69,7.5333,1.1567,245.519,1.306599,11.3543,9.843,1.5113,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,9.7,7.5333,2.1667,245.519,1.306599,12.674,9.843,2.831,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,9.99,7.5333,2.4567,245.519,1.306599,13.0529,9.843,3.2099,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,6.61,7.5333,-0.9233,245.519,1.306599,8.6366,9.843,-1.2064,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,7.75,7.5333,0.2167,245.519,1.306599,10.1261,9.843,0.2831,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,7.97,7.5333,0.4367,245.519,1.306599,10.4136,9.843,0.5705,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,8.1,7.5333,0.5667,245.519,1.306599,10.5835,9.843,0.7404,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,11.15,7.5333,3.6167,245.519,1.306599,14.5686,9.843,4.7255,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,9.39,7.5333,1.8567,245.519,1.306599,12.269,9.843,2.4259,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,7.4,7.5333,-0.1333,245.519,1.306599,9.6688,9.843,-0.1742,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,9.29,7.5333,1.7567,245.519,1.306599,12.1383,9.843,2.2953,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,9.49,7.5333,1.9567,245.519,1.306599,12.3996,9.843,2.5566,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,9.19,7.5333,1.6567,245.519,1.306599,12.0076,9.843,2.1646,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,11.49,7.5333,3.9567,245.519,1.306599,15.0128,9.843,5.1698,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,8.89,7.5333,1.3567,245.519,1.306599,11.6157,9.843,1.7726,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,9.84,7.5333,2.3067,245.519,1.306599,12.8569,9.843,3.0139,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,8.69,7.5333,1.1567,245.519,1.306599,11.3543,9.843,1.5113,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,9.64,7.5333,2.1067,245.519,1.306599,12.5956,9.843,2.7526,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,7.2,7.5333,-0.3333,245.519,1.306599,9.4075,9.843,-0.4355,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,6.89,7.5333,-0.6433,245.519,1.306599,9.0025,9.843,-0.8406,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,7.49,7.5333,-0.0433,245.519,1.306599,9.7864,9.843,-0.0566,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,6.99,7.5333,-0.5433,245.519,1.306599,9.1331,9.843,-0.7099,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,7.59,7.5333,0.0567,245.519,1.306599,9.9171,9.843,0.074,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,7.69,7.5333,0.1567,245.519,1.306599,10.0478,9.843,0.2047,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,8.29,7.5333,0.7567,245.519,1.306599,10.8317,9.843,0.9887,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,8.49,7.5333,0.9567,245.519,1.306599,11.093,9.843,1.25,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,9.09,7.5333,1.5567,245.519,1.306599,11.877,9.843,2.0339,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,9.29,7.5333,1.7567,245.519,1.306599,12.1383,9.843,2.2953,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,9.89,7.5333,2.3567,245.519,1.306599,12.9223,9.843,3.0792,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,6.88,7.5333,-0.6533,245.519,1.306599,8.9894,9.843,-0.8536,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
