Year,Month,EDC,price,PTC,markup,CPI,inflation_factor,real_price,real_PTC,real_markup
2017,8,DUQ,7.59,7.5333,0.0567,245.519,1.306599,9.9171,9.843,0.074
2017,8,DUQ,7.69,7.5333,0.1567,245.519,1.306599,10.0478,9.843,0.2047
2017,8,DUQ,8.29,7.5333,0.7567,245.519,1.306599,10.8317,9.843,0.9887
2017,8,DUQ,8.49,7.5333,0.9567,245.519,1.306599,11.093,9.843,1.25
2017,8,DUQ,9.09,7.5333,1.5567,245.519,1.306599,11.877,9.843,2.0339
2017,8,DUQ,9.29,7.5333,1.7567,245.519,1.306599,12.1383,9.843,2.2953
2017,8,DUQ,9.89,7.5333,2.3567,245.519,1.306599,12.9223,9.843,3.0792
2017,8,DUQ,6.88,7.5333,-0.6533,245.519,1.306599,8.9894,9.843,-0.8536
2017,8,DUQ,11.75,7.5333,4.2167,245.519,1.306599,15.3525,9.843,5.5095
2017,8,DUQ,8.99,7.5333,1.4567,245.519,1.306599,11.7463,9.843,1.9033
2017,8,DUQ,8.99,7.5333,1.4567,245.519,1.306599,11.7463,9.843,1.9033
2017,8,METED,5.9,6.018,-0.118,245.519,1.306599,7.7089,7.8631,-0.1542
2017,8,METED,6.35,6.018,0.332,245.519,1.306599,8.2969,7.8631,0.4338
2017,8,METED,6.55,6.018,0.532,245.519,1.306599,8.5582,7.8631,0.6951
2017,8,METED,6.89,6.018,0.872,245.519,1.306599,9.0025,7.8631,1.1394
2017,8,METED,10.43,6.018,4.412,245.519,1.306599,13.6278,7.8631,5.7647
2017,8,METED,6.85,6.018,0.832,245.519,1.306599,8.9502,7.8631,1.0871
2017,8,METED,6.19,6.018,0.172,245.519,1.306599,8.0879,7.8631,0.2247
2017,8,METED,9.19,6.018,3.172,245.519,1.306599,12.0076,7.8631,4.1445
2017,8,METED,9.6,6.018,3.582,245.519,1.306599,12.5434,7.8631,4.6802
2017,8,METED,7.79,6.018,1.772,245.519,1.306599,10.1784,7.8631,2.3153
2017,8,METED,8.09,6.018,2.072,245.519,1.306599,10.5704,7.8631,2.7073
2017,8,METED,6.2,6.018,0.182,245.519,1.306599,8.1009,7.8631,0.2378
2017,8,METED,9.3,6.018,3.282,245.519,1.306599,12.1514,7.8631,4.2883
2017,8,METED,10.5,6.018,4.482,245.519,1.306599,13.7193,7.8631,5.8562
2017,8,METED,9.99,6.018,3.972,245.519,1.306599,13.0529,7.8631,5.1898
2017,8,METED,7.19,6.018,1.172,245.519,1.306599,9.3945,7.8631,1.5313
2017,8,METED,7.49,6.018,1.472,245.519,1.306599,9.7864,7.8631,1.9233
2017,8,METED,7.29,6.018,1.272,245.519,1.306599,9.5251,7.8631,1.662
2017,8,METED,6.89,6.018,0.872,245.519,1.306599,9.0025,7.8631,1.1394
2017,8,METED,7.39,6.018,1.372,245.519,1.306599,9.6558,7.8631,1.7927
2017,8,METED,8.49,6.018,2.472,245.519,1.306599,11.093,7.8631,3.2299
2017,8,METED,7.29,6.018,1.272,245.519,1.306599,9.5251,7.8631,1.662
2017,8,METED,7.19,6.018,1.172,245.519,1.306599,9.3945,7.8631,1.5313
2017,8,METED,7.09,6.018,1.072,245.519,1.306599,9.2638,7.8631,1.4007
2017,8,METED,8.09,6.018,2.072,245.519,1.306599,10.5704,7.8631,2.7073
2017,8,METED,8.1,6.018,2.082,245.519,1.306599,10.5835,7.8631,2.7203
2017,8,METED,8.49,6.018,2.472,245.519,1.306599,11.093,7.8631,3.2299
2017,8,METED,10.65,6.018,4.632,245.519,1.306599,13.9153,7.8631,6.0522
2017,8,METED,7.89,6.018,1.872,245.519,1.306599,10.3091,7.8631,2.446
2017,8,METED,5.9,6.018,-0.118,245.519,1.306599,7.7089,7.8631,-0.1542
2017,8,METED,7.19,6.018,1.172,245.519,1.306599,9.3945,7.8631,1.5313
2017,8,METED,7.39,6.018,1.372,245.519,1.306599,9.6558,7.8631,1.7927
2017,8,METED,7.09,6.018,1.072,245.519,1.306599,9.2638,7.8631,1.4007
2017,8,METED,7.89,6.018,1.872,245.519,1.306599,10.3091,7.8631,2.446
2017,8,METED,8.84,6.018,2.822,245.519,1.306599,11.5503,7.8631,3.6872
2017,8,METED,8.09,6.018,2.072,245.519,1.306599,10.5704,7.8631,2.7073
2017,8,METED,9.04,6.018,3.022,245.519,1.306599,11.8117,7.8631,3.9485
2017,8,METED,6.7,6.018,0.682,245.519,1.306599,8.7542,7.8631,0.8911
2017,8,METED,5.89,6.018,-0.128,245.519,1.306599,7.6959,7.8631,-0.1672
2017,8,METED,9.99,6.018,3.972,245.519,1.306599,13.0529,7.8631,5.1898
2017,8,METED,8.99,6.018,2.972,245.519,1.306599,11.7463,7.8631,3.8832
2017,8,METED,11.25,6.018,5.232,245.519,1.306599,14.6992,7.8631,6.8361
2017,8,METED,7.79,6.018,1.772,245.519,1.306599,10.1784,7.8631,2.3153
2017,8,METED,8.14,6.018,2.122,245.519,1.306599,10.6357,7.8631,2.7726
2017,8,METED,8.59,6.018,2.572,245.519,1.306599,11.2237,7.8631,3.3606
2017,8,METED,8.59,6.018,2.572,245.519,1.306599,11.2237,7.8631,3.3606
2017,8,METED,6.21,6.018,0.192,245.519,1.306599,8.114,7.8631,0.2509
2017,8,METED,9.9,6.018,3.882,245.519,1.306599,12.9353,7.8631,5.0722
2017,8,METED,8.28,6.018,2.262,245.519,1.306599,10.8186,7.8631,2.9555
2017,8,METED,5.99,6.018,-0.028,245.519,1.306599,7.8265,7.8631,-0.0366
2017,8,METED,7.98,6.018,1.962,245.519,1.306599,10.4267,7.8631,2.5635
2017,8,METED,9.18,6.018,3.162,245.519,1.306599,11.9946,7.8631,4.1315
2017,8,METED,8.48,6.018,2.462,245.519,1.306599,11.08,7.8631,3.2168
2017,8,METED,8.18,6.018,2.162,245.519,1.306599,10.688,7.8631,2.8249
