Year,Month,EDC,n_offers,MeanMarkup,Variance,ShareAbovePTC,Q10,Q50,Q90
2022,3,METED,47,4.8816,2.446,1.0,3.0104,4.9742,6.3912
2022,3,PECO,84,3.4191,4.427,0.9881,1.5889,2.8162,5.8289
2022,3,PENELEC,44,5.0749,2.568,1.0,2.958,5.1416,6.6814
2022,3,PPL,57,3.3844,2.9015,0.9825,1.2039,3.3507,4.895
2022,5,APS,50,6.7627,8.5098,0.98,3.8462,6.163,9.9604
2022,5,DUQ,60,7.1427,8.0575,0.9833,4.2107,7.1246,10.6202
2022,5,METED,40,8.3638,8.0462,1.0,5.3317,7.9931,11.5227
2022,5,PECO,70,7.2288,8.5708,0.9857,4.1748,7.1601,11.4403
2022,5,PENELEC,38,8.8307,8.8985,1.0,5.7783,8.4596,12.6619
2022,5,PPL,50,6.7986,8.6172,0.96,3.7897,6.9066,10.3208
2022,6,APS,48,5.3575,5.6422,1.0,2.6535,4.8654,8.5647
2022,6,DUQ,54,7.3214,8.1729,0.9815,3.4175,8.0512,10.4762
2022,6,METED,39,7.7682,8.1291,1.0,4.2893,8.189,11.1294
2022,6,PECO,65,7.185,9.0619,0.9846,4.101,7.5329,10.4928
2022,6,PENELEC,37,6.4583,6.9918,0.973,3.3053,6.9905,9.8855
2022,6,PPL,49,3.8311,9.8435,0.898,0.2122,4.1854,7.2298
